"Data/Hora","Nome do QR","Nome do país","ISO do país","Cidade","Sistema operacional","Visitante único"
"2026-07-30T10:58:13.287000Z","Adesivo","Brazil","BR","Osasco","Android",""
"2026-07-28T18:24:20.923000Z","Adesivo","Brazil","BR","Praia Grande","Android","1"
"2026-07-24T01:13:45.940000Z","Adesivo","Brazil","BR","Sao Paulo","Android","1"
"2026-07-23T19:02:01.592000Z","Adesivo","Brazil","BR","Sao Paulo","Android","1"
"2026-07-23T12:28:55.699000Z","Adesivo","Brazil","BR","Vitoria","Android","1"
"2026-07-23T04:45:56.726000Z","Adesivo","Brazil","BR","Goiania","Android",""
"2026-07-21T08:45:53.777000Z","Adesivo","Brazil","BR","Osasco","iOS",""
"2026-07-20T06:15:24.627000Z","Adesivo","Brazil","BR","Osasco","Android",""
"2026-07-19T23:44:55.456000Z","Adesivo","Brazil","BR","Angra Dos Reis","Android","1"
"2026-07-18T15:31:33.772000Z","Adesivo","Brazil","BR","Rio Das Ostras","iOS","1"
"2026-07-16T17:11:22.414000Z","Adesivo","Brazil","BR","Goiania","Android",""
"2026-07-15T16:51:23.055000Z","Adesivo","Brazil","BR","Alto Rio Novo","Android",""
"2026-07-15T16:47:30.314000Z","Adesivo","Brazil","BR","Alto Rio Novo","Android","1"
"2026-07-14T22:24:07.883000Z","Adesivo","Brazil","BR","Nilopolis","Android","1"
"2026-07-14T21:43:17.188000Z","Adesivo","Brazil","BR","Rio de Janeiro","Android","1"
"2026-07-14T21:43:07.852000Z","Adesivo","Brazil","BR","Araguari","Android","1"
"2026-07-14T16:47:11.568000Z","Adesivo","Brazil","BR","Santa Leopoldina","iOS","1"
"2026-07-14T11:58:44.094000Z","Adesivo","Brazil","BR","Serra","iOS","1"
"2026-07-14T10:43:47.741000Z","Adesivo","Brazil","BR","Rio das Ostras","iOS","1"
"2026-07-14T04:43:39.450000Z","Adesivo","Brazil","BR","Catalao","iOS","1"
"2026-07-14T04:13:05.663000Z","Adesivo","Brazil","BR","Catalao","iOS","1"
"2026-07-14T01:40:36.973000Z","Adesivo","Brazil","BR","Vila Sarapui","iOS","1"
"2026-07-10T05:37:28.411000Z","Adesivo","Brazil","BR","Sao Paulo","Android","1"
"2026-07-09T02:57:00.921000Z","Adesivo","Brazil","BR","Rio de Janeiro","iOS","1"
"2026-07-07T21:29:33.489000Z","Adesivo","Brazil","BR","Rio de Janeiro","iOS","1"
"2026-07-06T21:32:43.781000Z","Adesivo","Brazil","BR","São Paulo","iOS","1"
"2026-07-06T10:58:45.767000Z","Adesivo","Brazil","BR","São Paulo","iOS","1"
"2026-07-02T04:03:03.929000Z","Adesivo","Brazil","BR","São Paulo","Android",""
"2026-07-01T15:45:32.734000Z","Adesivo","Brazil","BR","Peruíbe","Android","1"
"2026-06-30T16:33:06.319000Z","Adesivo","Brazil","BR","Campinas","Android","1"
"2026-06-30T12:42:44.945000Z","Adesivo","Brazil","BR","São Paulo","Android",""
"2026-06-30T06:49:25.747000Z","Adesivo","Brazil","BR","São Paulo","iOS","1"
"2026-06-30T05:38:02.219000Z","Adesivo","Brazil","BR","São Paulo","iOS","1"
"2026-06-29T05:53:45.257000Z","Adesivo","Brazil","BR","São Paulo","Android","1"
"2026-06-27T18:48:47.183000Z","Adesivo","Brazil","BR","São Paulo","Android","1"
"2026-06-26T05:46:29.003000Z","Adesivo","Brazil","BR","Campinas","Android","1"
"2026-06-23T12:29:10.562000Z","Adesivo","Brazil","BR","São Paulo","iOS","1"
"2026-06-23T09:57:27.762000Z","Adesivo","Brazil","BR","Campinas","iOS","1"
"2026-06-22T11:54:02.278000Z","Adesivo","Brazil","BR","São Paulo","Android",""
"2026-06-22T11:54:02.253000Z","Adesivo","Brazil","BR","São Paulo","Android","1"
"2026-06-22T10:33:48.746000Z","Adesivo","Brazil","BR","São Paulo","Android","1"
"2026-06-18T10:20:19.021000Z","Adesivo","Brazil","BR","Campinas","iOS","1"
"2026-06-18T06:34:26.258000Z","Adesivo","Brazil","BR","São Paulo","iOS",""
"2026-06-17T13:04:48.993000Z","Adesivo","Brazil","BR","São Paulo","iOS","1"
"2026-06-13T12:12:52.440000Z","Adesivo","Brazil","BR","Garanhuns","Android","1"
"2026-06-13T12:12:48.936000Z","Adesivo","Brazil","BR","São Paulo","Android","1"
"2026-06-08T15:33:09.320000Z","Adesivo","Brazil","BR","São Paulo","iOS","1"
"2026-06-08T10:55:33.198000Z","Adesivo","Brazil","BR","São Paulo","iOS",""
"2026-06-06T05:52:40.584000Z","Adesivo","Brazil","BR","São Paulo","iOS",""
"2026-06-05T07:24:02.674000Z","Adesivo","Brazil","BR","São Paulo","Android","1"
"2026-06-03T16:25:54.336000Z","Adesivo","Brazil","BR","São Paulo","iOS","1"
"2026-06-03T15:52:05.242000Z","Adesivo","Brazil","BR","São Paulo","Android","1"
"2026-06-02T14:44:51.842000Z","Adesivo","Brazil","BR","São Paulo","iOS",""
