"Data/Hora","Nome do QR","Nome do país","ISO do país","Cidade","Sistema operacional","Visitante único"
"2026-07-30T09:39:12.328000Z","pilastra1_boulevard_cdcQ","Brazil","BR","Sao Paulo","Android","1"
"2026-07-29T08:44:13.492000Z","pilastra1_boulevard_cdcQ","Brazil","BR","Timbo","Android","1"
"2026-07-29T08:44:04.072000Z","pilastra1_boulevard_cdcQ","Brazil","BR","Osasco","Android","1"
"2026-07-28T09:26:38.989000Z","pilastra1_boulevard_cdcQ","Brazil","BR","Campinas","iOS","1"
"2026-07-27T13:00:04.706000Z","pilastra1_boulevard_cdcQ","Brazil","BR","Nova Serrana","iOS","1"
"2026-07-22T11:45:04.014000Z","pilastra1_boulevard_cdcQ","Brazil","BR","Osasco","Android","1"
"2026-07-22T11:07:31.336000Z","pilastra1_boulevard_cdcQ","Brazil","BR","Diadema","Android",""
"2026-07-22T11:07:28.267000Z","pilastra1_boulevard_cdcQ","Brazil","BR","Diadema","Android","1"
"2026-07-21T13:13:18.549000Z","pilastra1_boulevard_cdcQ","Brazil","BR","Sao Paulo","iOS","1"
"2026-07-17T18:25:23.233000Z","pilastra1_boulevard_cdcQ","Brazil","BR","Sao Paulo","iOS","1"
"2026-07-15T11:34:43.511000Z","pilastra1_boulevard_cdcQ","Brazil","BR","Goiania","iOS","1"
"2026-07-14T17:58:07.803000Z","pilastra1_boulevard_cdcQ","Brazil","BR","Francisco Morato","iOS",""
"2026-07-14T17:53:46.111000Z","pilastra1_boulevard_cdcQ","Brazil","BR","Francisco Morato","iOS","1"
"2026-07-14T12:37:37.619000Z","pilastra1_boulevard_cdcQ","Brazil","BR","Pilar Do Sul","Android","1"
"2026-07-14T12:37:31.264000Z","pilastra1_boulevard_cdcQ","Brazil","BR","Sao Paulo","Android","1"
"2026-07-13T17:23:42.805000Z","pilastra1_boulevard_cdcQ","Brazil","BR","Votuporanga","Android",""
"2026-07-13T17:23:13.863000Z","pilastra1_boulevard_cdcQ","Brazil","BR","Votuporanga","Android","1"
"2026-07-13T11:19:37.059000Z","pilastra1_boulevard_cdcQ","Brazil","BR","Sao Paulo","Android","1"
"2026-07-11T12:13:39.142000Z","pilastra1_boulevard_cdcQ","Brazil","BR","Registro","Android","1"
"2026-07-11T09:31:57.832000Z","pilastra1_boulevard_cdcQ","Brazil","BR","Sao Paulo","Android","1"
"2026-07-10T11:46:08.986000Z","pilastra1_boulevard_cdcQ","Brazil","BR","Sao Paulo","Android","1"
"2026-07-09T05:35:15.826000Z","pilastra1_boulevard_cdcQ","Brazil","BR","São Paulo","Android","1"
"2026-07-08T11:25:04.749000Z","pilastra1_boulevard_cdcQ","Brazil","BR","São Paulo","Android","1"
"2026-07-07T13:06:59.473000Z","pilastra1_boulevard_cdcQ","Brazil","BR","São Paulo","Android","1"
"2026-07-06T12:36:16.573000Z","pilastra1_boulevard_cdcQ","Brazil","BR","Curitiba","iOS","1"
"2026-07-03T14:26:56.122000Z","pilastra1_boulevard_cdcQ","Brazil","BR","Porto Alegre","Android","1"
"2026-07-02T13:44:01.091000Z","pilastra1_boulevard_cdcQ","Brazil","BR","Campinas","iOS","1"
"2026-07-01T12:36:12.345000Z","pilastra1_boulevard_cdcQ","Brazil","BR","São Paulo","iOS","1"
"2026-07-01T01:17:46.789000Z","pilastra1_boulevard_cdcQ","Brazil","BR","São Paulo","iOS","1"
"2026-06-30T16:56:09.536000Z","pilastra1_boulevard_cdcQ","Brazil","BR","São Paulo","Android",""
"2026-06-30T16:54:54.936000Z","pilastra1_boulevard_cdcQ","Brazil","BR","São Paulo","Android",""
"2026-06-30T16:29:17.748000Z","pilastra1_boulevard_cdcQ","Brazil","BR","São Paulo","Android",""
"2026-06-30T16:28:43.238000Z","pilastra1_boulevard_cdcQ","Brazil","BR","São Paulo","Android",""
"2026-06-30T16:28:07.693000Z","pilastra1_boulevard_cdcQ","Brazil","BR","São Paulo","Android",""
"2026-06-30T16:23:56.587000Z","pilastra1_boulevard_cdcQ","Brazil","BR","São Paulo","Android","1"
"2026-06-27T13:44:23.403000Z","pilastra1_boulevard_cdcQ","Brazil","BR","São Paulo","Android","1"
"2026-06-26T15:58:47.222000Z","pilastra1_boulevard_cdcQ","Brazil","BR","São Paulo","Android","1"
"2026-06-26T12:53:52.751000Z","pilastra1_boulevard_cdcQ","Brazil","BR","Sao Paulo","Android","1"
"2026-06-25T16:21:37.816000Z","pilastra1_boulevard_cdcQ","Brazil","BR","Campinas","iOS","1"
"2026-06-25T08:02:12.485000Z","pilastra1_boulevard_cdcQ","Brazil","BR","São Paulo","iOS","1"
"2026-06-24T22:01:30.267000Z","pilastra1_boulevard_cdcQ","Brazil","BR","São Paulo","Android","1"
"2026-06-23T13:05:03.720000Z","pilastra1_boulevard_cdcQ","United States","US","Miami","Android","1"
"2026-06-23T13:05:00.483000Z","pilastra1_boulevard_cdcQ","Brazil","BR","Curitiba","Android","1"
"2026-06-22T12:49:11.518000Z","pilastra1_boulevard_cdcQ","Brazil","BR","São Paulo","Android","1"
"2026-06-19T17:02:07.796000Z","pilastra1_boulevard_cdcQ","Brazil","BR","São Paulo","Android","1"
"2026-06-19T13:10:53.679000Z","pilastra1_boulevard_cdcQ","Brazil","BR","Itumbiara","Android","1"
